"loan_id","facility_id"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","4"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","4"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","4"
"34","1"
"35","1"
"36","1"
"37","4"
"38","4"
"39","4"
"40","4"
"41","4"
"42","4"
"43","4"
"44","4"
"45","4"
"46","4"
"47","4"
"48","4"
"49","4"
"50","4"
"51","4"
"52","2"
"53","4"
"54","4"
"55","1"
"56","4"
"57","4"
"58","1"
"59","4"
"60","4"
"61","4"
"62","2"
"63","4"
"64","4"
"65","4"
"66","4"
"67","4"
"68","4"
"69","4"
"70","4"
"71","3"
"72","3"
"73","3"
"74","3"
"75","3"
"76","3"
"77","3"
"78","3"
"79","3"
"80","3"
"81","3"
"82","3"
"83","3"
"84","5"
"85","3"
"86","3"
"87","3"
"88","3"
"89","2"
"90","2"
"91","3"
"92","3"
"93","3"
"94","3"
"95","3"
"96","3"
"97","3"
"98","3"
"99","3"
"100","3"
"101","3"
"102","3"
"103","2"
"104","3"
"105","3"
"106","3"
"107","3"
"108","3"
"109","3"
"110","3"
"111","2"
"112","3"
"113","3"
"114","2"
"115","5"
"116","2"
"117","2"
"118","2"
"119","2"
"120","2"
"121","2"
"122","2"
"123","2"
"124","3"
"125","2"
"126","2"
"127","2"
"128","2"
"129","2"
"130","2"
"131","2"
"132","3"
"133","2"
"134","2"
"135","2"
"136","2"
"137","2"
"138","2"
"139","2"
"140","2"
"141","2"
"142","5"
"143","6"
"144","5"
"145","5"
"146","5"
"147","5"
"148","5"
"149","6"
"150","5"
"151","5"
"152","5"
"153","6"
"154","5"
"155","6"
"156","5"
"157","5"
"158","5"
"159","5"
"160","2"
"161","5"
"162","5"
"163","5"
"164","5"
"165","5"
"166","5"
"167","5"
"168","5"
"169","5"
"170","5"
"171","5"
"172","5"
"173","5"
"174","6"
"175","5"
"176","5"
"177","7"
"178","6"
"179","6"
"180","6"
"181","6"
"182","6"
"183","6"
"184","6"
"185","6"
"186","7"
"187","7"
"188","6"
"189","6"
"190","6"
"191","6"
"192","6"
"193","6"
"194","6"
"195","6"
"196","6"
"197","7"
"198","6"
"199","6"
"200","6"
"201","7"
"202","6"
"203","6"
"204","7"
"205","6"
"206","6"
"207","7"
"208","7"
"209","7"
"210","7"
"211","7"
"212","7"
"213","7"
"214","7"
"215","7"
"216","7"
"217","7"
"218","7"
"219","7"
"220","7"
"221","7"
"222","7"
"223","7"
"224","7"
"225","7"
"226","7"
"227","7"
"228","7"
"229","7"
"230","8"
"231","8"
"232","8"
"233","7"
"234","8"
"235","8"
"236","8"
"237","8"
"238","8"
"239","8"
"240","8"
"241","8"
"242","8"
"243","8"
"244","8"
"245","8"
"246","8"
"247","8"
"248","8"
"249","8"
"250","8"
"251","8"
"252","8"
"253","9"
"254","8"
"255","8"
"256","8"
"257","8"
"258","8"
"259","8"
"260","8"
"261","8"
"262","8"
"263","8"
"264","8"
"265","9"
"266","9"
"267","8"
"268","8"
"269","8"
"270","8"
"271","8"
"272","8"
"273","8"
"274","8"
"275","9"
"276","9"
"277","8"
"278","9"
"279","9"
"280","9"
"281","9"
"282","9"
"283","9"
"284","9"
"285","9"
"286","9"
"287","9"
"288","9"
"289","9"
"290","9"
"291","9"
"292","9"
"293","9"
"294","9"
"295","9"
"296","9"
"297","12"
"298","9"
"299","9"
"300","12"
"301","9"
"302","9"
"303","9"
"304","9"
"305","9"
"306","9"
"307","9"
"308","9"
"309","9"
"310","9"
"311","9"
"312","9"
"313","12"
"314","9"
"315","12"
"316","12"
"317","12"
"318","12"
"319","11"
"320","12"
"321","12"
"322","12"
"323","11"
"324","12"
"325","12"
"326","12"
"327","12"
"328","12"
"329","12"
"330","12"
"331","12"
"332","12"
"333","12"
"334","12"
"335","12"
"336","12"
"337","12"
"338","12"
"339","12"
"340","12"
"341","12"
"342","12"
"343","12"
"344","12"
"345","12"
"346","12"
"347","12"
"348","11"
"349","11"
"350","11"
"351","12"
"352","11"
"353","11"
"354","11"
"355","10"
"356","11"
"357","11"
"358","11"
"359","11"
"360","11"
"361","11"
"362","11"
"363","11"
"364","11"
"365","11"
"366","11"
"367","11"
"368","11"
"369","11"
"370","11"
"371","11"
"372","11"
"373","11"
"374","11"
"375","11"
"376","11"
"377","11"
"378","11"
"379","11"
"380","11"
"381","11"
"382","10"
"383","11"
"384","10"
"385","11"
"386","10"
"387","10"
"388","10"
"389","10"
"390","10"
"391","10"
"392","10"
"393","10"
"394","10"
"395","10"
"396","10"
"397","10"
"398","10"
"399","10"
"400","10"
"401","10"
"402","10"
"403","10"
"404","10"
"405","10"
"406","10"
"407","11"
"408","10"
"409","10"
"410","10"
"411","8"
"412","10"
"413","10"
"414","10"
"415","10"
"416","10"
"417","10"
"418","13"
"419","13"
"420","13"
"421","10"
"422","13"
"423","13"
"424","10"
"425","13"
